AFFY ID	AGI
262663_at	At1g13940
262615_at	At1g13950
262613_at	At1g13960
262664_at	At1g13970
262614_at	At1g13980
262607_at	At1g13990
262660_at	At1g14000
262647_at	At1g14020
262648_at	At1g14030
262649_at	At1g14040
262611_at	At1g14060
262665_at	At1g14070
262666_at	At1g14080
262650_at	At1g14090
262651_at	At1g14110
262652_at	At1g14110
262608_at	At1g14120
262653_at	At1g14130
262610_at	At1g14140
262612_at	At1g14150
262654_at	At1g14180
262656_at	At1g14200
262657_at	At1g14210
262658_at	At1g14220
262659_at	At1g14240
261481_at	At1g14260
261483_at	At1g14270
261480_at	At1g14280
261492_at	At1g14290
261524_at	At1g14300
261477_at	At1g14310
261490_at	At1g14320
261525_at	At1g14330
261487_at	At1g14340
261488_at	At1g14345
261491_at	At1g14350
261485_at	At1g14360
261526_at	At1g14370
261479_at	At1g14380
261527_at	At1g14390
261484_at	At1g14400
261493_at	At1g14410
261528_at	At1g14420
261529_at	At1g14430
261502_at	At1g14440
261489_at	At1g14450
261471_at	At1g14460
261472_at	At1g14470
261476_at	At1g14480
261473_at	At1g14490
261486_at	At1g14510
261482_at	At1g14530
261474_at	At1g14540
261475_at	At1g14550
260777_at	At1g14560
260782_at	At1g14570
260776_at	At1g14580
260780_at	At1g14610
260781_at	At1g14620
260778_at	At1g14640
260779_at	At1g14650
262835_at	At1g14660
262846_at	At1g14670
262836_at	At1g14680
262848_at	At1g14685
262843_at	At1g14687
262830_at	At1g14700
262849_at	At1g14710
262842_at	At1g14720
262831_at	At1g14730
262845_at	At1g14740
262833_at	At1g14750
262886_at	At1g14760
262839_at	At1g14770
262888_at	At1g14790
262889_at	At1g14800
262841_at	At1g14810
257463_at	At1g14820
262837_at	At1g14830
262847_at	At1g14840
262890_at	At1g14850
262844_at	At1g14890
262840_at	At1g14900
262856_at	At1g14910
262850_at	At1g14920
262857_at	At1g14930
262858_at	At1g14940
262828_at	At1g14950
262838_at	At1g14960
262829_at	At1g14970
260714_at	At1g14980
260738_at	At1g14990
260739_at	At1g15000
260744_at	At1g15010
260740_at	At1g15020
260741_at	At1g15040
260742_at	At1g15050
262604_at	At1g15060
262596_at	At1g15080
262590_at	At1g15100
262583_at	At1g15110
262593_at	At1g15120
262588_at	At1g15130
262572_at	At1g15140
262605_at	At1g15170
262569_at	At1g15180
262606_at	At1g15190
262570_at	At1g15200
262575_at	At1g15210
262591_at	At1g15220
262574_at	At1g15230
262594_at	At1g15250
262598_at	At1g15260
262602_at	At1g15270
262576_at	At1g15280
262577_at	At1g15290
262578_at	At1g15300
262601_at	At1g15310
262579_at	At1g15320
262580_at	At1g15330
262600_at	At1g15340
262599_at	At1g15350
262595_at	At1g15360
262581_at	At1g15370
262603_at	At1g15380
262573_at	At1g15390
262592_at	At1g15400
262582_at	At1g15410
262544_at	At1g15420
262571_at	At1g15430
262584_at	At1g15440
262585_at	At1g15460
262597_at	At1g15470
262586_at	At1g15480
262587_at	At1g15490
261762_at	At1g15510
261763_at	At1g15520
261764_at	At1g15530
261768_at	At1g15550
261765_at	At1g15570
261766_at	At1g15580
261759_at	At1g15590
261760_at	At1g15600
257480_at	At1g15640
261761_at	At1g15660
259502_at	At1g15670
259504_at	At1g15690
259485_at	At1g15700
259486_at	At1g15710
259487_at	At1g15720
